Time,force_x,force_y,force_z,vibration_x,vibration_y,vibration_z,acoustic_emission_rms,tool_wear,ACTION_CODE
25784,-16.824,-0.909,7.111,-0.053,-0.103,0.014,0.092,231.025864,0
25872,-9.622,-1.325,17.931,0.103,0.074,-0.038,0.099,231.905188,0
26136,24.467,-2.11,-14.686,-0.209,-0.052,-0.134,0.107,233.71466,0
26400,36.14,11.637,-19.708,-0.073,0.06,-0.09,0.092,236.552579,0
26840,39.639,10.82,-29.133,0.095,0.385,-0.053,0.171,240.556916,0
27016,9.981,11.508,23.472,0.105,-0.095,-0.135,0.091,241.595536,0
27192,37.537,10.808,-24.397,-0.327,0.04,-0.064,0.135,243.715731,0
27280,-8.661,-14.497,19.056,0.17,-0.251,-0.02,0.138,243.715731,0
27456,-23.942,-4.554,2.043,-0.216,-0.024,0.118,0.103,245.89108,0
27808,29.729,3.722,-16.529,0.001,0.225,0.106,0.12,249.251666,0
27896,36.51,9.213,-18.953,-0.073,0.322,-0.004,0.116,250.396477,0
27984,-16.59,-20.267,-6.142,0.248,0.055,-0.075,0.124,251.552993,0
28336,65.403,23.169,49.488,-0.051,0.035,0.183,0.08,255.089002,0
28424,10.577,17.213,-13.076,0.254,0.161,-0.08,0.125,256.288542,0
28688,0.96,3.625,27.133,-0.073,0.028,-0.058,0.093,258.716556,0
28776,72.758,18.239,56.69,-0.112,0,-0.063,0.081,259.944222,0
28864,-53.665,-1.214,-7.764,0.272,-0.216,-0.207,0.148,261.180446,0
28952,19.34,14.168,28.045,-0.121,-0.157,-0.388,0.104,261.180446,0
29040,39.557,11.73,-21.797,-0.16,0.228,0.264,0.099,262.424812,0
29392,31.928,-3.637,-19.837,0.128,0.214,0.04,0.107,266.202554,0
29480,-42.215,-13.95,-9.158,0.136,0.053,0.14,0.103,267.475259,0
29568,94.58,19.943,63.595,0.334,-0.016,0.054,0.081,268.753974,0
30008,88.359,15.979,60.398,-0.088,-0.091,0.033,0.106,273.9202,0
30184,19.699,11.224,33.415,-0.29,-0.113,-0.455,0.091,275.222398,0
30800,-3.291,-12.37,-15.072,0.035,-0.063,0.023,0.106,283.090875,0
30888,61.948,36.336,29.758,0.126,-0.221,0.056,0.162,283.090875,0
30976,70.778,9.028,-28.814,-0.171,0.064,-0.317,0.096,284.407363,0
31152,61.492,14.591,-27.602,-0.235,0.16,-0.017,0.105,287.040712,0
31240,-60.271,1.001,-3.565,0.279,-0.454,-0.223,0.12,288.356696,0
31504,92.299,25.963,65.422,0.097,0.051,-0.008,0.097,290.985104,0
31592,35.393,15.216,-17.888,-0.243,0.051,0.236,0.12,292.296664,0
31768,-11.832,13.569,-14.021,-0.108,-0.116,0.294,0.12,293.605889,0
31856,-11.527,-1.591,-14.461,-0.205,-0.236,0.139,0.117,294.912356,0
31944,85.734,25.392,58.886,-0.221,-0.022,-0.402,0.086,296.215643,0
32032,59.22,6.209,-24.038,-0.273,0.01,0.087,0.104,297.515333,0
32208,95.346,41.195,66.035,-0.537,-0.059,-0.215,0.113,298.811012,0
32472,-65.806,-5.973,-9.042,0.445,-0.755,-0.748,0.153,302.669916,1
32560,-23.334,-6.809,0.63,-0.215,0.105,0.138,0.117,302.669916,1
32648,63.428,24.457,56.191,0.137,-0.194,-0.286,0.116,303.945508,1
32736,79.381,24.832,49.955,-0.542,0.091,0.171,0.109,305.215091,1
32824,76.244,29.284,51.145,-0.175,0.195,0.316,0.105,306.478281,1
33000,72.108,6.804,-32.408,0.067,0.366,-0.109,0.128,307.734701,1
33352,4.683,16.823,-20.475,-0.123,0.233,0.526,0.126,311.459649,1
33440,0.721,9.376,-22.593,0.015,0.153,0.04,0.15,312.685329,1
33528,71.709,14.353,-27.38,-0.224,0.044,-0.202,0.134,313.902443,1
33616,53.749,19.805,-26.925,-0.156,0.469,-0.059,0.173,315.110651,1
33880,-53.558,-10.576,-3.633,0.085,-0.036,0.285,0.167,317.499034,1
33968,29.714,8.759,42.048,-0.041,0.095,0.166,0.169,318.678569,1
34056,95.718,12.159,63.624,0.139,0.043,0.118,0.177,319.847918,1
34232,-46.207,-4.08,-14.217,-0.105,-0.232,0.044,0.174,321.006782,1
34496,1.114,1.219,1.881,0.022,0.013,0.003,-0.005,324.417582,1
34584,-10.12,-1.458,12.996,-0.056,0.392,0.159,0.235,324.417582,1
34672,-24.182,-1.489,14.265,0.035,-0.103,0.222,0.303,325.531669,1
34760,51.756,17.749,-20.866,-0.156,0.295,0.014,0.273,326.633895,1
35024,3.003,-0.003,22.588,0.222,-0.066,-0.272,0.28,328.801784,1
35112,38.075,7.252,-18.349,0.002,0.11,0.054,0.399,329.866976,1
35200,62.563,20.309,36.603,-0.419,-0.033,0.09,0.47,330.919371,1
